회사명,지식산업센터명,입지,등록일,공장주소,전화번호,팩스번호,종업원,생산품,업종명,데이터기준일자
(주)하나파워텍,,계획입지,2020-03-24,"서울특별시 금천구 가산디지털2로 184, 1동 5층 503호 (가산동, 벽산/경인디지털밸리2) 외 1필지",02-2113-1900,,6,모카콘트롤,배전반 및 전기 자동제어반 제조업,2025-10-31
(주)하늘로,,계획입지,2022-11-30,서울특별시 금천구 가산디지털2로 173 지하1층 B103호 (가산동),02-6412-6200,,4,"한지유골함, 지관 등, 제품 디자인업",기타 종이 상자 및 용기 제조업 외 2 종,2025-10-31
(주)하닉스,,계획입지,2024-07-31,"서울특별시 금천구 가산디지털2로 173 10층 1010호 (가산동, 에이스 비즈포레 지식산업센터)",02-837-0150,,10,Harness Tester,기기용 자동측정 및 제어장치 제조업,2025-10-31
(주)하닉스,,계획입지,2023-06-22,"서울특별시 금천구 가산디지털2로 184, 1동 13층 1323호 (가산동, 벽산/경인디지털밸리2) 외 6필지",02-837-0150,,23,하네스테스터,기기용 자동측정 및 제어장치 제조업,2025-10-31
(주)하닉스,,계획입지,2024-06-04,"서울특별시 금천구 가산디지털2로 184, 1동 1층 116호 (가산동, 벽산/경인디지털밸리2) 외 7필지",02-837-0150,,22,Harness Tester,기기용 자동측정 및 제어장치 제조업,2025-10-31
(주)하닉스,,계획입지,2024-07-24,"서울특별시 금천구 가산디지털1로 181 지하2층 B202호 (가산동, 가산 더블유센터)",02-837-0150,,0,"와이어 트위스터, 와이어 하네스 검사장비 등",기기용 자동측정 및 제어장치 제조업,2025-10-31
(주)하랑커뮤니케이션,,계획입지,2019-02-21,"서울특별시 금천구 가산디지털1로 2 8층 814호 (가산동, 우림라이온스밸리2차)",02-869-0344,,12,봉제의복,그 외 기타 봉제의복 제조업,2025-10-31
(주)하소인텍,,계획입지,2011-04-22,서울특별시 금천구 벚꽃로 234 9층 902호 (가산동),02-2113-8100,,8,고속스캐너외,기타 주변기기 제조업 외 1 종,2025-10-31
(주)하야테요시히로,,계획입지,2021-07-08,"서울특별시 금천구 가산디지털2로 184, 1동 2층 212호 (가산동, 벽산/경인디지털밸리2)",02-837-8550,,2,"칼, 손잡이 제조",날붙이 제조업 외 1 종,2025-10-31
(주)하이텍알씨디코리아,,계획입지,2024-07-05,서울특별시 금천구 가산디지털1로 33-33 (가산동) 대륭테크노타운2차 1동 5층 502호,043-717-2012,,6,"서보모터,  무인 항공기 및 무인 비행장치 및 그 외 기타 전자 부품",무인 항공기 및 무인 비행장치 제조업 외 2 종,2025-10-31
(주)하이텍영상,,계획입지,2024-05-07,서울특별시 금천구 가산디지털1로 196 (가산동) 에이스테크노타워10차 1동 10층 1001호,02-6670-5050,,35,"전관방송기기,오디오앰프,전원공급장치 등",방송장비 제조업 외 8 종,2025-10-31
(주)하이텍영상,,계획입지,2023-07-13,서울특별시 금천구 가산디지털1로 204 15층 1501호  (가산동) 서울특별시 금천구 가산동 470-1번지동 15층 1501호 외 16필지,02-6670-5050,,27,"방송음향장비, 비상호출통화장치, 전광판 방송기기, 오디오앰프, 전원공급장치 등",방송장비 제조업 외 8 종,2025-10-31
(주)하해,,계획입지,2023-03-22,"서울특별시 금천구 디지털로 173 15층 1501호 (가산동, 엘리시아) 외 3필지",02-2105-4000,,116,"외의류,청바지 등","근무복, 작업복 및 유사의복 제조업 외 2 종",2025-10-31
(주)한강엔지니어링,,계획입지,2021-05-10,"서울특별시 금천구 범안로 1126, 6층 605호(가산동, 대륭21차) 외 1필지",02-2625-5260,,9,자동제어반,배전반 및 전기 자동제어반 제조업 외 1 종,2025-10-31
(주)한경애드,,계획입지,2021-11-08,"서울특별시 금천구 가산디지털1로 168, B동 3층 303호 (가산동)",02-2026-5047,,5,옥외광고물,경 인쇄업 외 2 종,2025-10-31
(주)한국광양사,,계획입지,2022-12-08,"서울특별시 금천구 가산디지털2로 114, A동 4층 401-1호 (가산동, 한국전자협동(주))",02-702-1251,,30,간판 및 광고인쇄,제판 및 조판업,2025-10-31
(주)한국메디칼사푸라이,,계획입지,2024-05-09,서울특별시 금천구 가산디지털2로 128 (가산동),02-856-0518,,106,수액세트,그 외 기타 의료용 기기 제조업,2025-10-31
(주)한국바이오헬스케어,,계획입지,2022-12-12,"서울특별시 금천구 디지털로9길 68, 1동 B2층 B204호 (가산동, 대륭포스트타워 5차)",02-3667-3666,,7,"대인방역분사기, 식물재배기, 스마트팜","물질 검사, 측정 및 분석기구 제조업 외 3 종",2025-10-31
(주)한국소방기구제작소,,계획입지,2018-05-11,"서울특별시 금천구 가산디지털1로 1, 1동 8층 802호 (가산동, 더루벤스밸리)",070-8734-4401,,0,동력식 수지공구,동력식 수지공구 제조업,2025-10-31
(주)한국영상솔루션,,계획입지,2018-03-14,"서울특별시 금천구 가산디지털1로 83 12층 1207호 (가산동, 파트너스타워)",02-3394-7369,,7,"영상저장장치, SW개발",방송장비 제조업 외 2 종,2025-10-31
(주)한국이에이치티,,계획입지,2018-04-11,서울특별시 금천구 가산디지털2로 70 11층 1116호 (가산동) 외 3필지,02-2624-6000,,21,전기발열선,기타 절연선 및 케이블 제조업,2025-10-31
(주)한국자동화기술,,계획입지,2014-05-13,"서울특별시 금천구 가산디지털2로 115 10층 1004호 (가산동, 대륭테크노타운3차) 외 1필지",02-2107-3300,,9,유공압 자동화장치(교육용),기기용 자동측정 및 제어장치 제조업 외 1 종,2025-10-31
(주)한국제프란,,계획입지,2020-07-22,"서울특별시 금천구 가산디지털1로 58 15층 1505호 (가산동, 에이스한솔타워) 외 9필지",02-869-4080,,0,자동제어반,전기회로 접속장치 제조업,2025-10-31
(주)한국지이,,계획입지,2019-08-23,"서울특별시 금천구 가산디지털2로 18 4층 401-1호 (가산동, 대륭테크노타운1차) 외 1필지",02-862-5055,,13,업소용 가스,"산업용 오븐, 노 및 노용 버너 제조업 외 1 종",2025-10-31
(주)한국카쿠무역,,계획입지,2024-10-02,"서울특별시 금천구 가산디지털2로 53, 6층 605호(가산동, 한라시그마밸리) 외 1필지", ,,0,산업용 송풍기,산업용 송풍기 및 배기장치 제조업,2025-10-31
(주)한국케미테크,,계획입지,2014-09-24,"서울특별시 금천구 범안로 1138 4층 405호 (가산동, 고려테크온)",02-839-1181,,13,"볼트코팅품, 접착제소분",접착제 및 젤라틴 제조업,2025-10-31
(주)한국픽셀,,계획입지,2024-10-29,"서울특별시 금천구 디지털로9길 32, A동 12층 1205호 (가산동, 갑을그레이트밸리)",02-2652-3348,,4,"CCTV 보안 카메라 제조, 출입통제 단말기 제조, 영상디스플레이, 소프트웨어 개발 및 유지보수, 정보시스템 구축",유선 통신장비 제조업 외 4 종,2025-10-31
(주)한길티에스,,계획입지,2024-03-04,"서울특별시 금천구 가산디지털2로 98(가산동, IT캐슬) 1동 14층 1402호",031-431-2005,,1,"시각장애인용 음향신호기, 보행신호 음성안내 보조장치",교통 신호장치 제조업,2025-10-31
(주)한남이앤씨,,계획입지,2024-11-25,"서울특별시 금천구 디지털로9길 68, 1동 14층 1407호 (가산동, 대륭포스트타워 5차)",02-866-7173,,6,방송장비 등,방송장비 제조업 외 4 종,2025-10-31
(주)한남이앤씨,,계획입지,2024-07-22,"서울특별시 금천구 디지털로 178, B동 4층 OB-407호 (가산동) 외 7필지",02-866-7173,,4,"소방무선통신, 열차무선통신",유선 통신장비 제조업 외 4 종,2025-10-31
(주)한도씨앤에스,,계획입지,2021-03-05,"서울특별시 금천구 가산디지털1로 33-33, 1동 B1층 B05호(가산동, 대륭테크노타운2차) 외 1필지",02-2029-6881,,9,"스티커,라벨",기타 인쇄업 외 1 종,2025-10-31
(주)한맥시스템,,계획입지,2024-07-30,"서울특별시 금천구 가산디지털2로 98 B2층 B202호 (가산동, IT캐슬)",02-585-5238,,6,종이라벨스티커,그 외 기타 종이 및 판지 제품 제조업,2025-10-31
(주)한메가,,계획입지,2021-06-24,"서울특별시 금천구 가산디지털2로 115 2층 201호 (가산동, 대륭테크노타운3차) 외 16필지",02-2027-8592,,87,현금지급기,사무용 기계 및 장비 제조업,2025-10-31
(주)한미일렉트릭,,계획입지,2013-06-03,"서울특별시 금천구 가산디지털2로 184, 1동 7층 718호 (가산동, 벽산/경인디지털밸리2)",02-2113-1805,,6,대기전기차단콘센트,"전기회로 개폐, 보호장치 제조업 외 1 종",2025-10-31
(주)한별시스템,,계획입지,2013-04-22,"서울특별시 금천구 가마산로 96 8층 814호 (가산동, 대륭테크노타운8차) 외 1필지",02-2163-6775,,10,"에어커튼, 공기청정살균기",공기 조화장치 제조업 외 2 종,2025-10-31
(주)한별시스템,,계획입지,2023-10-04,"서울특별시 금천구 가산디지털2로 70 B1층 B112호 (가산동, 대륭테크노타운19차)",02-2163-6776,,7,에어커튼,공기 조화장치 제조업,2025-10-31
(주)한서비엠티,,계획입지,2012-10-12,서울특별시 금천구 범안로 1130 7층 702호 (가산동), ,,8,방송음향기기(마이크프리앰프),기타 음향기기 제조업,2025-10-31
(주)한서프리시전,,계획입지,2022-12-20,"서울특별시 금천구 가산디지털2로 53, 10층 1001호(가산동, 한라시그마밸리) 외 1필지",02-895-7440,,6,극세 스프링 전자부품,금속 스프링 제조업 외 1 종,2025-10-31
(주)한소노,,계획입지,2015-06-29,서울특별시 금천구 가산디지털1로 70 10층 1007(일부)호 (가산동),02-6278-1004,,2,초음파기기,그 외 기타 전기장비 제조업,2025-10-31
(주)한스웰,,계획입지,2023-12-13,"서울특별시 금천구 가산디지털1로 45 11층 1108호 (가산동, 이앤씨드림타워8차)",02-2605-9999,,12,"유,무선 원격접속장치(ROIP), 산업용 컴퓨터",방송장비 제조업 외 4 종,2025-10-31
(주)한스정보,,계획입지,2022-05-04,"서울특별시 금천구 벚꽃로 298, 1동 6층 610호 (가산동, 대륭포스트타워6차)",02-707-1903,,4,터치모니터,기타 주변기기 제조업 외 1 종,2025-10-31
(주)한스테크,,계획입지,2022-11-04,서울특별시 금천구 가산디지털2로 43-14 14층 1430호  (가산동) 외 1필지, ,,6,자동차용 오디오 전장품,자동차 재제조 부품 제조업 외 1 종,2025-10-31
(주)한신,,계획입지,2016-07-15,"서울특별시 금천구 가산디지털1로 2 5층 505호 (가산동, 우림라이온스밸리2차)",02-2619-6100,,4,가스밸브 제조,"탭, 밸브 및 유사장치 제조업",2025-10-31
(주)한양엠에스엘,,계획입지,2010-04-08,"서울특별시 금천구 디지털로9길 68, 1동 B2층 B205호 (가산동, 대륭포스트타워 5차) 외 3필지",02-835-3596,,7,완충기와 그부분품제조,그 외 자동차용 신품 부품 제조업 외 3 종,2025-10-31
(주)한위드정보기술,,계획입지,2020-10-07,서울특별시 금천구 가산디지털2로 184 (가산동) 벽산디지털밸리2차 1동 9층 906호,02-861-2168,,12,"비상경보기,통신장비,음향기기",유선 통신장비 제조업 외 3 종,2025-10-31
(주)한일씨앤드에이치,,계획입지,2015-10-13,"서울특별시 금천구 가마산로 96 15층 1503호 (가산동, 대륭테크노타운8차)",02-2068-0012,,3,온도조절기,기기용 자동측정 및 제어장치 제조업,2025-10-31
(주)한일테크노무역,,계획입지,2005-08-29,"서울특별시 금천구 벚꽃로 286 10층 1007호 (가산동, 삼성리더스타워)",02-2026-6936,,10,무선송수신기,기타 음향기기 제조업,2025-10-31
(주)한진,,계획입지,1974-01-30,서울특별시 금천구 가산디지털2로 83 (가산동),02-3282-8161,,172,택배,택시 운송업,2025-10-31
(주)한창기전,,계획입지,2020-11-07,"서울특별시 금천구 가산디지털1로 171, 1동 16층 1618호 (가산동, 가산 SK V1 center)",02-838-8696,,17,"자동제어반, 음식물쓰레기감량기",전기회로 접속장치 제조업 외 2 종,2025-10-31
(주)한창코퍼레이션,,계획입지,2020-09-03,서울특별시 금천구 가산디지털1로 145 14층 1404호 (가산동),02-2026-5588,,8,"전자부품, GPS모듈",그 외 기타 전자부품 제조업,2025-10-31
(주)한틀시스템,,계획입지,2024-02-28,"서울특별시 금천구 벚꽃로36길 30, 5층 525호 (가산동) 외 1필지",02-3282-2521,,38,지폐 입출금기 모듈,사무용 기계 및 장비 제조업,2025-10-31
(주)한틀시스템,,계획입지,2024-10-10,"서울특별시 금천구 디지털로9길 99 7층 706호 (가산동, 스타밸리) 외 7필지",02-3282-2521,,28,"사무용기계및 장비제조업, 고속스캐너, 투표지분류기 등",사무용 기계 및 장비 제조업 외 1 종,2025-10-31
(주)한틀에스엔에이,,계획입지,2024-07-22,"서울특별시 금천구 디지털로9길 99 7층 704호 (가산동, 스타밸리) 외 9필지",02-3282-2500,,23,스캐너외,사무용 기계 및 장비 제조업 외 3 종,2025-10-31
(주)한팩,,계획입지,2022-11-07,"서울특별시 금천구 벚꽃로24길 26, 1동 3층 321호 (가산동, 에이스 하이엔드타워 클래식 지식산업센터)",02-2634-2519,,7,"플라스틱 밀봉제, 제품 디자인",기타 기계.장비 조립용 플라스틱 제품 제조업 외 1 종,2025-10-31
(주)한헬스케어,,계획입지,2020-06-18,"서울특별시 금천구 디지털로9길 33, 동 18층 1807호 (가산동, IT미래TOWER)", ,,13,정형용교정장치,정형외과용 및 신체보정용 기기 제조업,2025-10-31
(주)핫마인쓰리디,,계획입지,2020-06-02,"서울특별시 금천구 가산디지털1로 19 지하1층 B106호 (가산동, 대륭테크노타운18차)",1566-5894,,4,3D프린터,디지털 적층 성형기계 제조업,2025-10-31
(주)해니,,계획입지,2021-03-08,서울특별시 금천구 가산디지털2로 53 3층 310호 (가산동),02-852-3946,,5,"속옷, 마스크",속옷 및 잠옷 제조업 외 1 종,2025-10-31
(주)해달미디텍,,계획입지,2020-09-28,"서울특별시 금천구 가산디지털2로 67 16층 1603호 (가산동, 에이스 하이엔드타워7) 외 1필지",02-711-0324,,8,"컴퓨터, 모니터 제조",컴퓨터 제조업 외 1 종,2025-10-31
(주)해법에듀,,계획입지,2017-12-07,서울특별시 금천구 가산디지털1로 16  (가산동) 서울특별시 금천구 가산디지털1로 16 (가산동)동,02-6711-2650,,52,"학습교재, 평가교재",교과서 및 학습서적 출판업,2025-10-31
(주)해비테크,,계획입지,2016-01-18,"서울특별시 금천구 가산디지털1로 1, 1동 5층 502호 (가산동, 더루벤스밸리)",032-813-0085,,3,"DVR, 비상벨",기타 무선 통신장비 제조업,2025-10-31
(주)해성씨앤에스,,계획입지,2021-03-09,서울특별시 금천구 벚꽃로24길 26 (가산동) 1동 3층 304호,02-2082-5757,,4,천공용비트류,톱 및 호환성 공구 제조업 외 1 종,2025-10-31
(주)해암이엔지,,계획입지,2015-02-02,"서울특별시 금천구 가산디지털2로 98 (가산동, 아이티캐슬) (총 4 필지) 1동 7층 704호",02-2026-8225,,5,"전자부품,전자집적회로제조","물질 검사, 측정 및 분석기구 제조업 외 2 종",2025-10-31
(주)해피스토리,,계획입지,2023-08-28,서울특별시 금천구 가산디지털2로 144 5층 514호  (가산동),02-830-6282,,0,배지자수가공,자수제품 및 자수용재료 제조업,2025-10-31
(주)허니영,,계획입지,2023-12-14,"서울특별시 금천구 벚꽃로 254 13층 1304호 (가산동, 월드메르디앙1차)",02-866-6118,,4,세럼,화장품 제조업,2025-10-31
(주)허니영,,계획입지,2023-12-14,"서울특별시 금천구 벚꽃로 234 4층 408호 (가산동, 에이스하이엔드타워6차)",02-866-6118,,4,"세럼, 크림",화장품 제조업,2025-10-31
(주)허브메이트,,계획입지,2006-09-27,"서울특별시 금천구 가산디지털2로 123 4층 406호 (가산동, 월드메르디앙2차)", ,,5,천연허브향방향제,표면광택제 및 실내가향제 제조업,2025-10-31
(주)헤로스테크,,계획입지,2021-01-11,"서울특별시 금천구 가산디지털1로 119, A동 8층 A-804호 (가산동)",070-8876-2281,,15,철도 승강장 안전 발판,철도차량 부품 및 관련 장치물 제조업,2025-10-31
(주)헥사이노힐,,계획입지,2022-12-07,"서울특별시 금천구 가산디지털2로 101, A동 5층 505호(가산동)",02-586-5021,,3,의료용 레이저 조사기,그 외 기타 의료용 기기 제조업,2025-10-31
(주)헬쯔테크,,계획입지,2017-04-07,"서울특별시 금천구 가산디지털1로 212 14층 1404호 (가산동, 코오롱디지털타워애스턴)",02-2645-6834,,4,컨버터,기타 전기 변환장치 제조업 외 1 종,2025-10-31
(주)현대룩스온,,계획입지,2021-12-10,"서울특별시 금천구 디지털로9길 99 8층 810호 (가산동, 스타밸리)", ,,4,LED 조명,전시 및 광고용 조명장치 제조업 외 2 종,2025-10-31
(주)현대이엔지,,계획입지,2002-06-24,"서울특별시 금천구 디지털로9길 56 B1층 B104호 (가산동, 코오롱테크노밸리)",02-2635-9988,,15,냉각기,산업용 냉장 및 냉동 장비 제조업,2025-10-31
(주)현대카오디오랜드,,계획입지,2016-03-28,"서울특별시 금천구 가산디지털2로 98, 2동 10층 1008호 (가산동, IT캐슬)",02-2082-6288,,5,차량용TV,액정 표시장치 제조업,2025-10-31
(주)현대테크,,계획입지,2016-09-09,"서울특별시 금천구 가산디지털1로 119, B동 4층 B-412호 (가산동, SK트윈테크타워)",02-3453-1548,,2,태양광 발전기 접속함,전동기 및 발전기 제조업,2025-10-31
(주)현인터네셔널,,계획입지,2023-07-31,"서울특별시 금천구 가산디지털1로 30, 1층 105호(가산동, 에이스하이엔드타워10)",02-2060-0495,,4,전기배전반 제조,배전반 및 전기 자동제어반 제조업,2025-10-31
(주)협동하이록,,계획입지,2023-09-14,"서울특별시 금천구 가마산로 96, 9층 911호(가산동, 대륭테크노타운8차)",02-3281-1853,,6,"모듈, Flexible tube, fittings",그 외 기타 특수목적용 기계 제조업,2025-10-31
(주)형근,,계획입지,2014-10-01,"서울특별시 금천구 가산디지털1로 168, A동 6층 607호 (가산동)",02-858-1551,,25,인터폰등조립용플라스틱제품,운송장비 조립용 플라스틱제품 제조업 외 1 종,2025-10-31
(주)혜인에스앤에스,,계획입지,2024-09-13,"서울특별시 금천구 가산디지털2로 14, 12층 13호 (가산동, 대륭테크노타운12차) 외 1필지",02-6343-0090,,6,"출입통제컨트롤러,원격전송장치, CCTV제어장치,A/V제어장치",유선 통신장비 제조업 외 5 종,2025-10-31
(주)혜인하우징,,계획입지,2024-11-22,"서울특별시 금천구 가산디지털1로 119, B동 1층 B-105호(가산동, SK트윈테크타워)", ,,0,알미늄창호제작,"금속 문, 창, 셔터 및 관련제품 제조업",2025-10-31
(주)호가푸드시스템,,계획입지,2021-03-10,"서울특별시 금천구 가산로9길 66 1층 B101호 (가산동, 더리즌밸리 지식산업센터) 외 3필지",02-830-5417,,24,"소스.빵류,돈까스",육류 기타 가공 및 저장처리업 (가금류 제외) 외 3 종,2025-10-31
(주)호스트이엔아이,,계획입지,2012-09-07,"서울특별시 금천구 벚꽃로 278, 7층 17 (가산동, SJ 테크노빌)",02-852-0647,,12,"컨트롤러,MPEG",유선 통신장비 제조업,2025-10-31
(주)혼골드모아,,계획입지,2018-07-18,"서울특별시 금천구 가산디지털1로 119, B동 5층 B-501호 (가산동, SK트윈테크타워)",070-8896-7791,,5,귀금속,귀금속 및 관련제품 제조업,2025-10-31
(주)혼주얼리,,계획입지,2011-07-28,"서울특별시 금천구 가산디지털1로 119, B동 5층 B-513호 (가산동)",02-2103-4576,,4,귀금속,귀금속 및 관련제품 제조업,2025-10-31
(주)홍림,,계획입지,2022-12-06,"서울특별시 금천구 가산디지털1로 171, 1동 17층 1707호 (가산동, 가산 SK V1 center) 외 1필지",02-784-4233,,9,"진동소음측정기, 전기발파기 외","물질 검사, 측정 및 분석기구 제조업 외 2 종",2025-10-31
(주)홍림교역,,계획입지,2015-12-29,"서울특별시 금천구 가산디지털2로 53 16층 1607호 (가산동, 한라시그마밸리)",02-784-4233,,7,"진동소음측정기, 발파기(전류변환장치)","물질 검사, 측정 및 분석기구 제조업 외 2 종",2025-10-31
(주)홍스에이전시,,계획입지,2012-07-04,"서울특별시 금천구 벚꽃로 298, 1동 6층 609호 (가산동, 대륭포스트타워6차)",02-2113-7755,,7,"출판,산업디자인",일반 서적 출판업 외 3 종,2025-10-31
(주)홍주코리아,,계획입지,2016-12-21,"서울특별시 금천구 디지털로9길 99 9층 901호 (가산동, 스타밸리)",02-3275-0655,,10,"간판,인쇄",간판 및 광고물 제조업,2025-10-31
(주)화성아이앤티,,계획입지,2015-10-13,"서울특별시 금천구 가산디지털2로 115 4층 405호 (가산동, 대륭테크노타운3차)",02-3474-5505,,10,"카드리더, 스캐너 등",기타 주변기기 제조업,2025-10-31
(주)화영퍼,,계획입지,2010-04-13,서울특별시 금천구 디지털로 130 13층 1307호 (가산동),02-832-2858,,9,의류,모피제품 제조업 외 1 종,2025-10-31
(주)화이트일렉트론,,계획입지,2005-11-23,"서울특별시 금천구 가산디지털2로 98, 2동 11층 1106호 (가산동, IT캐슬)",02-2164-3770,,3,스팀사우나,핵반응기 및 증기보일러 제조업,2025-10-31
(주)화인옵틱스,,계획입지,2013-12-11,"서울특별시 금천구 가산디지털1로 168, C동 4층 410호 (가산동, 우림라이온스밸리)",02-2038-4525,,4,조명 제어보드,산업처리공정 제어장비 제조업,2025-10-31
(주)확실한방수,,계획입지,2022-10-12,"서울특별시 금천구 가산디지털1로 45 3층 307호 (가산동, 이앤씨드림타워8차) 외 1필지", ,,3,수용성 아크릴 방수제,일반용 도료 및 관련제품 제조업 외 1 종,2025-10-31
(주)환경에스엔텍,,계획입지,2023-05-19,"서울특별시 금천구 가산디지털1로 205-27, 8층 808호 (가산동)",070-4327-7669,,4,잔향시간가변장치,기타 음향기기 제조업,2025-10-31
(주)회산,,계획입지,2020-05-22,"서울특별시 금천구 가산디지털1로 45 7층 707-2호 (가산동, 이앤씨드림타워8차)",070-4137-2555,,2,주차장비 제조,교통 신호장치 제조업,2025-10-31
(주)회산,,계획입지,2024-06-10,"서울특별시 금천구 가산디지털2로 14 5층 515호 (가산동, 대륭테크노타운12차)",070-4297-1777,,2,주차출입 관리 장비,교통 신호장치 제조업,2025-10-31
(주)효성모리스,,계획입지,2016-01-20,"서울특별시 금천구 가산디지털1로 30 15층 1514호 (가산동, 에이스하이엔드타워10) 외 1필지",02-2685-4003,,5,특수전동기,그 외 기타 일반목적용 기계 제조업 외 1 종,2025-10-31
(주)후레쉬램,,계획입지,2021-05-18,"서울특별시 금천구 가산디지털2로 60, 신관공장 2층 (가산동)",02-2685-5433,,0,식육가공,육류 포장육 및 냉동육 가공업 (가금류 제외) 외 1 종,2025-10-31
(주)후이즈엠,,계획입지,2018-10-11,"서울특별시 금천구 가산디지털2로 62, (주)더바이올렛 1층 (가산동)",1661-4259,,4,조립형 벽체 마감패널,기타 구조용 금속제품 제조업,2025-10-31
(주)휘권양행,,계획입지,2013-06-05,"서울특별시 금천구 디지털로9길 99 10층 1006호 (가산동, 스타밸리) 외 1필지",02-866-1846,,45,"핸드백,지갑",핸드백 및 지갑 제조업,2025-10-31
(주)휘리치코리아,,계획입지,2018-11-20,"서울특별시 금천구 가산디지털1로 219, 1동 9층 901호 (가산동, 벽산디지털밸리6차) 외 3필지",02-1566-7031,,16,컴퓨터주변기기,컴퓨터 제조업,2025-10-31
(주)휘림테크,,계획입지,2022-11-07,서울특별시 금천구 가산디지털1로 5 17층 1704호 (가산동),02-836-7823,,4,"가격택,스티커, 가격스티커sw개발",경 인쇄업 외 1 종,2025-10-31
(주)휠코리아,,계획입지,2017-02-06,"서울특별시 금천구 디지털로 173 6층 605호 (가산동, 엘리시아)",02-3444-0002,,5,단열필름,플라스틱 필름 제조업 외 1 종,2025-10-31
(주)휴레이저,,계획입지,2016-04-05,서울특별시 금천구 가산디지털1로 25 11층 1110호 (가산동) 외 1필지,02-3012-5678,,11,의료기기 제조,그 외 기타 의료용 기기 제조업,2025-10-31
(주)휴로브,,계획입지,2019-11-28,"서울특별시 금천구 가산디지털1로 233, 1동 7층 713호 (가산동, 에이스하이엔드타워9차)",02-6264-0850,,3,"영상 송출 장치(스마트뷰, 알리자)",방송장비 제조업 외 3 종,2025-10-31
(주)휴먼닷컴,,계획입지,2001-11-26,"서울특별시 금천구 디지털로9길 56 9층 909호 (가산동, 코오롱테크노밸리)",02-859-0661,,20,무선통신기기,기타 무선 통신장비 제조업 외 2 종,2025-10-31
(주)휴먼베스트테크놀로지,,계획입지,2017-05-11,"서울특별시 금천구 가산디지털2로 165 11층 1103호 (가산동, 백상스타타워2차)",02-864-2014,,2,정형외과용 및 신체보정용 기기,정형외과용 및 신체보정용 기기 제조업,2025-10-31
(주)휴먼베스트테크놀로지,,계획입지,2023-09-25,서울특별시 금천구 가산디지털1로 204 8층 801호  (가산동) 서울특별시 금천구 가산동 470-1번지동 8층 801호 외 2필지,02-864-2014,,4,"재활보조기기, 소프트웨어 개발 및 공급, 운동기구",정형외과용 및 신체보정용 기기 제조업,2025-10-31
(주)휴먼씨티앤에스,,계획입지,2020-02-14,"서울특별시 금천구 가산디지털1로 58 14층 1406호 (가산동, 에이스한솔타워)",02-706-5264,,8,CCTV 제조,방송장비 제조업,2025-10-31
(주)휴비시스,,계획입지,2023-01-09,서울특별시 금천구 가산디지털1로 225 (가산동) 에이스 가산 포휴(지식산업센터) 1동 3층 319호,02-852-9620,,4,CCTV,방송장비 제조업,2025-10-31
(주)휴비시스,,계획입지,2023-11-14,서울특별시 금천구 가산디지털2로 144 8층 815호  (가산동) 외 5필지,02-6952-1352,,8,CCTV제조,방송장비 제조업,2025-10-31
(주)휴앤솔,,계획입지,2024-10-31,"서울특별시 금천구 가산디지털2로 173, 8층 817호(가산동, 에이스 비즈포레 지식산업센터) 8층 817호",02-3489-1119,,2,배리어프리 키오스크 키패드,그 외 기타 전기장비 제조업 외 1 종,2025-10-31
(주)휴엔릭스,,계획입지,2021-02-03,서울특별시 금천구 가산디지털1로 225 (가산동) 에이스 가산 포휴(지식산업센터) 1동 4층 420호,070-8118-9905,,8,"환경 측정 S/W 개발, 환경 관련 연구 용역, 미세먼지 측정 기기 연구개발","물질 검사, 측정 및 분석기구 제조업 외 3 종",2025-10-31
(주)휴테코,,계획입지,2017-04-07,"서울특별시 금천구 가산디지털2로 136 9층 902호 (가산동, 승일VentureTower) 외 3필지",02-574-0881,,4,하이브리드 환기시스템,기타 가정용 전기기기 제조업 외 3 종,2025-10-31
(주)휴템,,계획입지,2024-12-19,"서울특별시 금천구 가산디지털2로 115, 1동 1층 104호 (가산동, 대륭테크노타운3차) 외 4필지",02-855-2277,,49,"웨이퍼본더 등, 제약장비",반도체 제조용 기계 제조업,2025-10-31
(주)휴톤,,계획입지,2023-12-06,"서울특별시 금천구 가산디지털1로 212, 5층 504호(가산동, 코오롱디지털타워애스턴) 외 1필지",02-851-4845,,10,"방송장비, 전자부품, 유선통신기기",유선 통신장비 제조업 외 1 종,2025-10-31
(주)힐링더스킨,,계획입지,2016-10-04,"서울특별시 금천구 가산디지털2로 108, 1동 10층 1006호 (가산동)",070-7124-7784,,4,"화장품, 마스크팩",화장품 제조업,2025-10-31
502커피,,계획입지,2013-08-09,"서울특별시 금천구 가산디지털1로 159-20, 1층 일부 (가산동, (주)홍영물산)",02-2025-4258,,4,커피원두제조(로스팅),커피 가공업,2025-10-31
ADT,,계획입지,2011-04-07,"서울특별시 금천구 가산디지털1로 196, 1동 5층 510호 (가산동, 에이스테크노타워10차) 외 1필지",02-2168-8991,,8,전자온도제어기,기기용 자동측정 및 제어장치 제조업,2025-10-31
BALANCE TECH,,계획입지,2013-06-25,"서울특별시 금천구 디지털로9길 99 B1층 B111호 (가산동, 스타밸리)",02-2611-6006,,7,"균형시험기,진동검사기","물질 검사, 측정 및 분석기구 제조업",2025-10-31
DH인터내셔널,,계획입지,2017-07-04,"서울특별시 금천구 가산디지털1로 19 14층 1406호 (가산동, 대륭테크노타운18차)", ,,2,직물가방,가방 및 기타 보호용 케이스 제조업,2025-10-31
